thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,text.started,key_resp.started,instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
47,0,47,[-0.21],[0.098],[1],[0],[0],[1.2999208000255749],['target'],47,0,47,0,78.6493163999985,,,,,,,,,10,78.63440480001736,78.6493163999985,78.6493163999985,0.015829200041480362,79.9343676000135,[-0.21],[0.098],[1],[0],[0],[1.2999208000255749],['target'],participant 4,001,2025-09-30_23h31.35.087,visual_search,,2025.1.1,59.7915904394216,2025-09-30 23h31.42.442613 +0530,
48,0,48,[0.133],[-0.262],[1],[0],[0],[1.9696326999692246],['target'],48,0,48,0,79.96609950001584,,,,,,,,,10,79.94903730001533,79.96609950001584,79.96609950001584,0.014576399989891797,81.91874200000893,[0.133],[-0.262],[1],[0],[0],[1.9696326999692246],['target'],participant 4,001,2025-09-30_23h31.35.087,visual_search,,2025.1.1,59.7915904394216,2025-09-30 23h31.42.442613 +0530,
49,0,49,[0.372],[0.241],[1],[0],[0],[2.092114600003697],['target'],49,0,49,0,81.9493638999993,,,,,,,,,5,81.92788100003963,81.9493638999993,81.9493638999993,0.008967100002337247,84.02009020000696,[0.372],[0.241],[1],[0],[0],[2.092114600003697],['target'],participant 4,001,2025-09-30_23h31.35.087,visual_search,,2025.1.1,59.7915904394216,2025-09-30 23h31.42.442613 +0530,
50,0,50,[0.391],[0.239],[1],[0],[0],[1.1720715999836102],['target'],50,0,50,0,84.04978460003622,,,,,,,,,5,84.03071020002244,84.04978460003622,84.04978460003622,0.010429099958855659,85.20290220004972,[0.391],[0.239],[1],[0],[0],[1.1720715999836102],['target'],participant 4,001,2025-09-30_23h31.35.087,visual_search,,2025.1.1,59.7915904394216,2025-09-30 23h31.42.442613 +0530,
51,0,51,[0.092],[-0.31],[1],[0],[0],[1.796786900027655],['target'],51,0,51,0,85.23263540002517,,,,,,,,,10,85.22106660000281,85.23263540002517,85.23263540002517,0.017946400039363652,87.01790269999765,[0.092],[-0.31],[1],[0],[0],[1.796786900027655],['target'],participant 4,001,2025-09-30_23h31.35.087,visual_search,,2025.1.1,59.7915904394216,2025-09-30 23h31.42.442613 +0530,
52,0,52,[0.07],[-0.06],[1],[0],[0],[1.0755732000106946],['target'],52,0,52,0,87.03348910005298,,,,,,,,,5,87.02729650004767,87.03348910005298,87.03348910005298,0.009267700021155179,88.10293819999788,[0.07],[-0.06],[1],[0],[0],[1.0755732000106946],['target'],participant 4,001,2025-09-30_23h31.35.087,visual_search,,2025.1.1,59.7915904394216,2025-09-30 23h31.42.442613 +0530,
53,0,53,[0.122],[-0.27],[1],[0],[0],[1.2731698999996297],['target'],53,0,53,0,88.13265130005311,,,,,,,,,5,88.11272020003526,88.13265130005311,88.13265130005311,0.009650000021792948,89.38599350000732,[0.122],[-0.27],[1],[0],[0],[1.2731698999996297],['target'],participant 4,001,2025-09-30_23h31.35.087,visual_search,,2025.1.1,59.7915904394216,2025-09-30 23h31.42.442613 +0530,
54,0,54,[0.325],[0.385],[1],[0],[0],[1.589500100002624],['target'],54,0,54,0,89.41587780002737,,,,,,,,,5,89.39604690001579,89.41587780002737,89.41587780002737,0.009860799997113645,90.98562069999753,[0.325],[0.385],[1],[0],[0],[1.589500100002624],['target'],participant 4,001,2025-09-30_23h31.35.087,visual_search,,2025.1.1,59.7915904394216,2025-09-30 23h31.42.442613 +0530,
55,0,55,[0.182],[-0.379],[1],[0],[0],[1.508457499963697],['target'],55,0,55,0,91.01599440001883,,,,,,,,,5,90.99413440003991,91.01599440001883,91.01599440001883,0.008376600046176463,92.50266070000362,[0.182],[-0.379],[1],[0],[0],[1.508457499963697],['target'],participant 4,001,2025-09-30_23h31.35.087,visual_search,,2025.1.1,59.7915904394216,2025-09-30 23h31.42.442613 +0530,
56,0,56,[0.238],[0.418],[1],[0],[0],[1.499727200018242],['target'],56,0,56,0,92.53303150000283,,,,,,,,,10,92.51981359999627,92.53303150000283,92.53303150000283,0.016982799977995455,94.01964190002764,[0.238],[0.418],[1],[0],[0],[1.499727200018242],['target'],participant 4,001,2025-09-30_23h31.35.087,visual_search,,2025.1.1,59.7915904394216,2025-09-30 23h31.42.442613 +0530,
