reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
15,35,13,64,4,6,l,1.1394012002274394,None,6,4,64,1,226.58197780000046,,226.57122999988496,226.58197780000046,227.56562109990045,227.56562109990045,227.5818908000365,228.7160689998418,l,1.1394012002274394,None,participant 1,001,2025-11-06_20h41.24.448,delay_discounting,,2025.1.1,60.144370497968794,2025-11-06 20h41.59.361943 +0530,
67,75,119,65,5,6,t,1.1592068998143077,None,6,5,65,6,228.73094999976456,,228.72150259977207,228.73094999976456,229.73110560001805,229.73110560001805,229.73110560001805,230.89969229977578,t,1.1592068998143077,None,participant 1,001,2025-11-06_20h41.24.448,delay_discounting,,2025.1.1,60.144370497968794,2025-11-06 20h41.59.361943 +0530,
40,55,62,66,6,6,t,1.322496000211686,None,6,6,66,3,230.9154364001006,,230.90508189983666,230.9154364001006,231.89906980004162,231.89906980004162,231.91572909988463,233.23138989973813,t,1.322496000211686,None,participant 1,001,2025-11-06_20h41.24.448,delay_discounting,,2025.1.1,60.144370497968794,2025-11-06 20h41.59.361943 +0530,
11,30,7,67,7,6,l,1.034371200017631,None,6,7,67,0,233.29739729966968,,233.28138129971921,233.29739729966968,234.23121959995478,234.23121959995478,234.29853469971567,235.2817957997322,l,1.034371200017631,None,participant 1,001,2025-11-06_20h41.24.448,delay_discounting,,2025.1.1,60.144370497968794,2025-11-06 20h41.59.361943 +0530,
49,60,89,68,8,6,t,1.3038931000046432,None,6,8,68,4,235.29886239999905,,235.2860606997274,235.29886239999905,236.28110319981351,236.28110319981351,236.3143788999878,237.59959209989756,t,1.3038931000046432,None,participant 1,001,2025-11-06_20h41.24.448,delay_discounting,,2025.1.1,60.144370497968794,2025-11-06 20h41.59.361943 +0530,
92,110,190,69,9,6,t,1.1230448000133038,None,6,9,69,9,237.61421420006081,,237.60462450003251,237.61421420006081,238.61543420003727,238.61543420003727,238.61543420003727,239.74833069974557,t,1.1230448000133038,None,participant 1,001,2025-11-06_20h41.24.448,delay_discounting,,2025.1.1,60.144370497968794,2025-11-06 20h41.59.361943 +0530,
49,60,89,70,0,7,t,0.9142148001119494,None,7,0,70,4,239.76440409990028,,239.75222259992734,239.76440409990028,240.7478165999055,240.7478165999055,240.76425139978528,241.66622579982504,t,0.9142148001119494,None,participant 1,001,2025-11-06_20h41.24.448,delay_discounting,,2025.1.1,60.144370497968794,2025-11-06 20h41.59.361943 +0530,
82,90,175,71,1,7,t,0.9677939000539482,None,7,1,71,8,241.6810703999363,,241.6716599999927,241.6810703999363,242.6656305999495,242.6656305999495,242.68184110010043,243.6490811998956,t,0.9677939000539482,None,participant 1,001,2025-11-06_20h41.24.448,delay_discounting,,2025.1.1,60.144370497968794,2025-11-06 20h41.59.361943 +0530,
92,110,190,72,2,7,t,0.8500804998911917,None,7,2,72,9,243.66460540005937,,243.65297479974106,243.66460540005937,244.6488231997937,244.6488231997937,244.66517789987847,245.514756700024,t,0.8500804998911917,None,participant 1,001,2025-11-06_20h41.24.448,delay_discounting,,2025.1.1,60.144370497968794,2025-11-06 20h41.59.361943 +0530,
40,55,62,73,3,7,t,0.948811000213027,None,7,3,73,3,245.53119400003925,,245.51800030004233,245.53119400003925,246.51558570005,246.51558570005,246.5322133996524,247.46561049995944,t,0.948811000213027,None,participant 1,001,2025-11-06_20h41.24.448,delay_discounting,,2025.1.1,60.144370497968794,2025-11-06 20h41.59.361943 +0530,
15,35,13,74,4,7,l,1.4853839999996126,None,7,4,74,1,247.48106119967997,,247.4698282997124,247.48106119967997,248.46535179996863,248.46535179996863,248.48202729970217,249.9663670998998,l,1.4853839999996126,None,participant 1,001,2025-11-06_20h41.24.448,delay_discounting,,2025.1.1,60.144370497968794,2025-11-06 20h41.59.361943 +0530,
78,80,162,75,5,7,t,1.8846220998093486,None,7,5,75,7,249.9812958999537,,249.97114379983395,249.9812958999537,250.9656293997541,250.9656293997541,250.98214459978044,252.86567780002952,t,1.8846220998093486,None,participant 1,001,2025-11-06_20h41.24.448,delay_discounting,,2025.1.1,60.144370497968794,2025-11-06 20h41.59.361943 +0530,
67,75,119,76,6,7,t,2.169359799940139,None,7,6,76,6,252.88077759975567,,252.86920339986682,252.88077759975567,253.86566519970074,253.86566519970074,253.88248459994793,256.0492988997139,t,2.169359799940139,None,participant 1,001,2025-11-06_20h41.24.448,delay_discounting,,2025.1.1,60.144370497968794,2025-11-06 20h41.59.361943 +0530,
53,65,101,77,7,7,t,0.9959487002342939,None,7,7,77,5,256.0654881000519,,256.0550379999913,256.0654881000519,257.0641451999545,257.0641451999545,257.08070769999176,258.0664702998474,t,0.9959487002342939,None,participant 1,001,2025-11-06_20h41.24.448,delay_discounting,,2025.1.1,60.144370497968794,2025-11-06 20h41.59.361943 +0530,
